gene,dep_score
GENE0000,1.1839019117100198
GENE0001,0.303826845027793
GENE0002,0.19205435028986062
GENE0003,0.2659434481762174
GENE0004,-1.3661578762408668
GENE0005,-0.3895534736381311
GENE0006,-0.9564456538816968
GENE0007,0.19741365231431526
GENE0008,-0.5439981304035021
GENE0009,-0.04405912149974852
GENE0010,-0.07729256326094218
GENE0011,-0.03637038490501321
GENE0012,-0.0347471219115299
GENE0013,-0.6523781063835983
GENE0014,-1.0540027955565343
GENE0015,-0.6643563093536256
GENE0016,1.0715383406436483
GENE0017,0.3741618064648528
GENE0018,0.5869553605920156
GENE0019,1.3799679163043477
GENE0020,-1.1794309331731632
GENE0021,0.5099524214818214
GENE0022,-1.0750741052027453
GENE0023,-0.3343325988668879
GENE0024,0.4842398427706556
GENE0025,1.614345267136424
GENE0026,-0.7821649424751884
GENE0027,-0.0947962535938427
GENE0028,1.1562368039549173
GENE0029,-1.4898081193653723
GENE0030,0.36211291470656115
GENE0031,-0.3082781503978844
GENE0032,-0.881694971470056
GENE0033,0.14663082307360867
GENE0034,0.594925861846824
GENE0035,-0.91209976232621
GENE0036,0.37998978184674126
GENE0037,0.1733699896200973
GENE0038,-1.2418133060027143
GENE0039,1.5534128669401228
GENE0040,1.0899026698201453
GENE0041,-0.8599267478891178
GENE0042,-0.586630882730846
GENE0043,0.7707802337475681
GENE0044,-0.49544904738287204
GENE0045,-1.8397186052226187
GENE0046,1.048882112400727
GENE0047,0.008781422965773035
GENE0048,1.9070261909649173
GENE0049,0.35746712316898616
GENE0050,0.19099248938301286
GENE0051,2.8745004813941315
GENE0052,-0.17186734595143172
GENE0053,-0.9518157648768794
GENE0054,0.22919797956924792
GENE0055,1.135754903021066
GENE0056,-1.1651201441864287
GENE0057,-0.9082651093054563
GENE0058,0.4497770983764295
GENE0059,-3.197345391683628
GENE0060,-1.0926786579823062
GENE0061,0.7954840824420695
GENE0062,-0.5867399161530961
GENE0063,-1.6264831326910547
GENE0064,1.9255666584293065
GENE0065,-1.4105351572732683
GENE0066,-0.523365546959906
GENE0067,-0.3727314992906954
GENE0068,0.08314439397770138
